ciiu3_4c,ciiu3_letra,clae6,clae6_letra,propio,propio_letra,propio_letra_2,letra,desc
2101,D,170101,C,2101,D,D_21,D_21,Papel
2101,D,170102,C,2101,D,D_21,D_21,Papel
2102,D,170201,C,2102,D,D_21,D_21,Papel
2102,D,170202,C,2102,D,D_21,D_21,Papel
2109,D,170910,C,2109,D,D_21,D_21,Papel
2109,D,170990,C,2109,D,D_21,D_21,Papel
2221,D,181101,C,2221,D,D_22,D_22,Edición
2221,D,181109,C,2221,D,D_22,D_22,Edición
2892,D,259200,C,2892,D,D_28,D_28,Otros productos de metal
2222,D,181200,C,2222,D,D_22,D_22,Edición
2230,D,182000,C,2230,D,D_22,D_22,Edición
2310,D,191000,C,2310,D,D_23,D_23,Productos de petróleo
2320,D,192000,C,2320,D,D_23,D_23,Productos de petróleo
2411,D,201110,C,2411,D,D_24,D_24,Productos químicos
2411,D,201120,C,2411,D,D_24,D_24,Productos químicos
2411,D,201130,C,2411,D,D_24,D_24,Productos químicos
2411,D,201180,C,2411,D,D_24,D_24,Productos químicos
2411,D,201190,C,2411,D,D_24,D_24,Productos químicos
2330,D,201140,C,2330,D,D_23,D_23,Productos de petróleo
2412,D,201300,C,2412,D,D_24,D_24,Productos químicos
2413,D,201401,C,2413,D,D_24,D_24,Productos químicos
2413,D,201409,C,2413,D,D_24,D_24,Productos químicos
2421,D,202101,C,2421,D,D_24,D_24,Productos químicos
2422,D,202200,C,2422,D,D_24,D_24,Productos químicos
2424,D,202311,C,2424,D,D_24,D_24,Productos químicos
2424,D,202312,C,2424,D,D_24,D_24,Productos químicos
2424,D,202320,C,2424,D,D_24,D_24,Productos químicos
3699,D,329010,C,3699,D,D_36,D_36,Muebles
3699,D,329020,C,3699,D,D_36,D_36,Muebles
3699,D,329030,C,3699,D,D_36,D_36,Muebles
3699,D,329040,C,3699,D,D_36,D_36,Muebles
3699,D,329090,C,3699,D,D_36,D_36,Muebles
2430,D,203000,C,2430,D,D_24,D_24,Productos químicos
2423,D,210010,C,2423,D,D_24,D_24,Productos químicos
2423,D,210020,C,2423,D,D_24,D_24,Productos químicos
2423,D,210030,C,2423,D,D_24,D_24,Productos químicos
2423,D,210090,C,2423,D,D_24,D_24,Productos químicos
2511,D,221110,C,2511,D,D_25,D_25,Productos de caucho y plástico
2511,D,221120,C,2511,D,D_25,D_25,Productos de caucho y plástico
2519,D,221901,C,2519,D,D_25,D_25,Productos de caucho y plástico
2519,D,221909,C,2519,D,D_25,D_25,Productos de caucho y plástico
2520,D,222010,C,2520,D,D_25,D_25,Productos de caucho y plástico
2520,D,222090,C,2520,D,D_25,D_25,Productos de caucho y plástico
2610,D,231010,C,2610,D,D_26,D_26,Otros minerales no metálicos
2610,D,231020,C,2610,D,D_26,D_26,Otros minerales no metálicos
2610,D,231090,C,2610,D,D_26,D_26,Otros minerales no metálicos
2692,D,239100,C,2692,D,D_26,D_26,Otros minerales no metálicos
2693,D,239201,C,2693,D,D_26,D_26,Otros minerales no metálicos
2693,D,239202,C,2693,D,D_26,D_26,Otros minerales no metálicos
2693,D,239209,C,2693,D,D_26,D_26,Otros minerales no metálicos
2691,D,239310,C,2691,D,D_26,D_26,Otros minerales no metálicos
2691,D,239391,C,2691,D,D_26,D_26,Otros minerales no metálicos
2691,D,239399,C,2691,D,D_26,D_26,Otros minerales no metálicos
2694,D,239410,C,2694,D,D_26,D_26,Otros minerales no metálicos
2694,D,239421,C,2694,D,D_26,D_26,Otros minerales no metálicos
2694,D,239422,C,2694,D,D_26,D_26,Otros minerales no metálicos
2695,D,239510,C,2695,D,D_26,D_26,Otros minerales no metálicos
2695,D,239591,C,2695,D,D_26,D_26,Otros minerales no metálicos
2695,D,239592,C,2695,D,D_26,D_26,Otros minerales no metálicos
2695,D,239593,C,2695,D,D_26,D_26,Otros minerales no metálicos
2696,D,239600,C,2696,D,D_26,D_26,Otros minerales no metálicos
2699,D,239900,C,2699,D,D_26,D_26,Otros minerales no metálicos
2710,D,241001,C,2710,D,D_27,D_27,Metales comunes
2710,D,241009,C,2710,D,D_27,D_27,Metales comunes
2720,D,242010,C,2720,D,D_27,D_27,Metales comunes
2720,D,242090,C,2720,D,D_27,D_27,Metales comunes
2731,D,243100,C,2731,D,D_27,D_27,Metales comunes
2732,D,243200,C,2732,D,D_27,D_27,Metales comunes
2811,D,251101,C,2811,D,D_28,D_28,Otros productos de metal
2811,D,251102,C,2811,D,D_28,D_28,Otros productos de metal
2812,D,251200,C,2812,D,D_28,D_28,Otros productos de metal
2813,D,251300,C,2813,D,D_28,D_28,Otros productos de metal
2927,D,252000,C,2927,D,D_29,D_29,Maquinaria y equipo
2891,D,259100,C,2891,D,D_28,D_28,Otros productos de metal
2893,D,259301,C,2893,D,D_28,D_28,Otros productos de metal
2893,D,259302,C,2893,D,D_28,D_28,Otros productos de metal
2893,D,259309,C,2893,D,D_28,D_28,Otros productos de metal
2929,D,282901,C,2929,D,D_29,D_29,Maquinaria y equipo
2929,D,282909,C,2929,D,D_29,D_29,Maquinaria y equipo
2899,D,259910,C,2899,D,D_28,D_28,Otros productos de metal
2899,D,259991,C,2899,D,D_28,D_28,Otros productos de metal
2899,D,259992,C,2899,D,D_28,D_28,Otros productos de metal
